Date,Time,Temperature,Feels Like,Weather,Rain Chance (%),Wind Direction,Wind Speed (km),Humidity (%),UV Index,Rain Amount (mm)
2024-10-29,11:30,32,37,Mostly Cloudy,1,SW,9,62,6 of 11,0
2024-10-29,12:30,32,38,Mostly Cloudy,17,WSW,11,59,8 of 11,0
2024-10-29,13:30,32,38,Mostly Cloudy,17,W,13,61,7 of 11,0
2024-10-29,14:30,32,38,Partly Cloudy,8,W,13,61,6 of 11,0
2024-10-29,15:30,32,38,Mostly Sunny,3,W,14,64,3 of 11,0
2024-10-29,16:30,31,37,Mostly Sunny,7,W,14,65,1 of 11,0
2024-10-29,17:30,31,36,Mostly Sunny,9,W,13,67,0 of 11,0
2024-10-29,18:30,30,36,Mostly Clear,4,W,11,73,0 of 11,0
2024-10-29,19:30,30,35,Mostly Clear,4,W,8,74,0 of 11,0
2024-10-29,20:30,29,35,Mostly Clear,5,W,7,76,0 of 11,0
2024-10-29,21:30,29,34,Partly Cloudy,5,WSW,4,77,0 of 11,0
2024-10-29,22:30,29,34,Partly Cloudy,6,E,5,79,0 of 11,0
2024-10-29,23:30,29,34,Partly Cloudy,6,NE,4,77,0 of 11,0
2024-10-29,00:30,28,33,Mostly Cloudy,6,ESE,3,79,0 of 11,0
2024-10-29,01:30,28,32,Partly Cloudy,6,ENE,4,80,0 of 11,0
2024-10-29,02:30,28,32,Mostly Clear,7,ENE,3,80,0 of 11,0
2024-10-29,03:30,28,32,Mostly Clear,7,NE,5,82,0 of 11,0
2024-10-29,04:30,27,32,Mostly Clear,9,E,4,82,0 of 11,0
2024-10-29,05:30,27,31,Partly Cloudy,8,ENE,4,83,0 of 11,0
2024-10-29,06:30,27,31,Partly Cloudy,8,ENE,5,83,0 of 11,0
2024-10-29,07:30,27,31,Mostly Sunny,7,E,5,83,0 of 11,0
2024-10-29,08:30,28,33,Sunny,6,ENE,6,77,2 of 11,0
2024-10-29,09:30,29,34,Sunny,13,ENE,7,72,4 of 11,0
2024-10-29,10:30,30,35,Sunny,11,NE,5,66,7 of 11,0
